lane,evidence,interpretation,confidence,provenance,data_gap,next_step
AOI/CRS,"Screening AOI bbox -109.90,57.25,-108.45,58.15 EPSG:4326; SW Athabasca / Patterson Lake Corridor focus","Covers Triple R, Arrow, Spitfire/Hook Lake, JR/PLN and peripheral critical-mineral occurrences; not a legal staking boundary",Medium,"GeoMine AOI normalization; Saskatchewan ArcGIS layers downloaded with outSR=4326","Exact mineral parcel geometry and MARS legal parcel ids not included in report-level AOI","Use MARS parcel map for legal cell-level staking check"
Mineral tenure,"Downloaded Government of Saskatchewan Mineral Dispositions and Lapsed layers; local screen found 521 active disposition features and 26 lapsed features intersecting AOI download","Core PLC is heavily tenured; any 'unclaimed' strategy must be claim-gap or expiry-watch first, geology second",High for current screen; Low for legal title,"Saskatchewan P_Mineral_Tenure_Crown_Dispositions MapServer layers 0 and 3, retrieved 2026-05-11","Lapsed layer does not expose lapse date; bbox overlay is conservative; not a title opinion","Verify candidate cells in MARS on the day of staking"
Geology/deposit model,"PLC is a >50 km basement-hosted uranium corridor in SW Rae/Taltson crystalline rocks with orthogneiss, pegmatite, mafic-ultramafic bodies, graphite/sulphide shears, quartz flooding and brittle reactivation","Next discovery probability is highest where reactivated graphitic shear/conductor, mafic-ultramafic density contrast, alteration and U pathfinders overlap",High for model; Moderate for untested areas,"Card 2021; Powell et al. 2019; Hillacre et al. 2021; Government Mineral Exploration layers","Public report does not include full conductor geometry, resistivity inversions, or proprietary drill logs","Compile EM/resistivity/gravity/magnetic lineaments into 3D target model"
Geochemistry/alteration,"VNIR-SWIR studies show illite/kaolinite crystallinity and clay maturity can vector to fertile fluid conduits; kaolinite horizons are associated with high-grade mineralization in PLC examples","Clay alteration is a vectoring tool, not a standalone discovery criterion; use with gamma logs, structure and geophysics",High for known deposits; Low outside drilled areas,"GSC Open File 8549 / Powell et al. 2019; Powell et al. 2022","No systematic public clay spectral grid for unclaimed cells","Acquire or re-log available core with SWIR/XRD plus gamma/mag susceptibility"
Geophysics,"Known PLC deposits are tied to graphitic conductors, resistivity lows/alteration, cross structures and gravity-high/mafic-ultramafic contact hypotheses","EM conductor intersections and gravity-gradient contacts remain priority vectors, especially flanking known deposits",High for known district; Moderate for extrapolation,"Bingham & Legault 2019; GSC/AGS/SGS Open Files 8533/8534; Purepoint Hook Lake project summary","No property-scale conductor plates included in this screen","License/reprocess airborne EM and ground DC/IP data; rank conductor offsets and cross faults"
Mineral occurrences,"Government Mineral Deposits Index in AOI includes Triple R, Arrow, Spitfire, JR Zone, Bow, uranium drillholes, gold drillholes, REE/Th and Ni-Cu-Co occurrences","Uranium dominates economic thesis; gold is mainly accessory or isolated drillhole evidence; REE/Th/Ni-Cu-Co provide optional critical-mineral side targets",Medium,"Saskatchewan Mineral Exploration MapServer layer 5, retrieved 2026-05-11","Occurrence points are not current resources; assays and QA/QC require reports","Pull assessment reports/SMDI records for top cells and normalize assays"
Drilling,"Government drillhole layer returned 1635 drillholes in AOI download; highest drill density coincides with known/claimed targets","High drill density reduces geological uncertainty but also signals strong tenure pressure; open cells with many holes are rare and mostly peripheral",Medium,"Saskatchewan Mineral Exploration MapServer layer 3, retrieved 2026-05-11","Layer includes collars but not complete assay intervals in this screen","Join drillholes to assessment reports and assay tables"
Candidate open cells,"Grid cells with zero active disposition bbox intersections: PLC-001, PLC-234, PLC-026, PLC-027 and southern/eastern peripheral cells","These are more likely open but geologically lower confidence than core PLC; useful only as low-cost reconnaissance options",Low to Medium,"Local grid screen patterson_lake_corridor_claim_gap_grid.csv","BBox method; no exact polygon difference; limited geophysical data attached","MARS verify, then remote sensing/airborne geophysics and small prospecting program"
Candidate lapsed cells,"Lapsed-feature cluster around PLC-041/042/058 includes CAT Strategic Metals lapsed ids MC00013968, MC00013970, MC00014519, MC00014557, MC00013808, with REE/Th/Ni evidence; however active bbox intersections exist","Possible recently-lapsed/partially-open opportunity only after exact MARS subtraction; not a core uranium target",Low for open status; Medium for critical-mineral optionality,"Saskatchewan lapsed layer and MDI/rock samples, retrieved 2026-05-11","No lapse date; lapsed polygons may have been restaked; active overlap not resolved","Exact polygon subtraction in projected CRS and MARS title check"
Economics/development,"Benchmark projects show high-grade uranium can support low operating cost but high capex and long permitting: PLS updated capex ~US$1.226B, AISC ~US$15.2/lb, first production target 2031; Rook I 11-year 233.6 Mlb plan with CNSC construction licence in 2026","New grassroots open ground should be valued as discovery-option or M&A pipeline, not near-term production",High for benchmark; Low for new cells,"Paladin 2025 PLS update; NexGen Rook I project page and FS/update disclosures","No resource, metallurgy, hydrogeology, or environmental baseline for candidate cells","Use analog costs only; no PEA-style economics until discovery and drilling"
